month,day_of_month,hour,carbon_kg_kwh
2,15,2,0.2139
2,15,3,0.2134
2,15,4,0.2165
2,15,5,0.2306
2,15,6,0.2329
2,15,7,0.223
2,15,8,0.2113
2,15,9,0.2076
2,15,10,0.2168
2,15,11,0.2127
2,15,12,0.2158
2,15,13,0.2204
2,15,14,0.2201
2,15,15,0.2144
2,15,16,0.2147
2,15,17,0.2146
2,15,18,0.2189
2,15,19,0.2144
2,15,20,0.211
2,15,21,0.2024
2,15,22,0.1913
2,15,23,0.1809
2,16,0,0.1913
2,16,1,0.1952
2,16,2,0.1937
2,16,3,0.1925
2,16,4,0.1927
2,16,5,0.1897
2,16,6,0.1859
2,16,7,0.1823
2,16,8,0.1798
2,16,9,0.1807
2,16,10,0.1937
2,16,11,0.1952
2,16,12,0.1899
2,16,13,0.1863
2,16,14,0.1934
2,16,15,0.1947
2,16,16,0.1925
2,16,17,0.1957
2,16,18,0.2027
2,16,19,0.1969
2,16,20,0.1934
2,16,21,0.1901
2,16,22,0.1906
2,16,23,0.1839
2,17,0,0.1929
2,17,1,0.1963
2,17,2,0.1927
2,17,3,0.1851
2,17,4,0.1876
2,17,5,0.1876
2,17,6,0.1925
2,17,7,0.2057
2,17,8,0.2072
2,17,9,0.2003
2,17,10,0.1919
2,17,11,0.1924
2,17,12,0.189
2,17,13,0.192
2,17,14,0.1939
2,17,15,0.1927
2,17,16,0.1945
2,17,17,0.1995
2,17,18,0.2013
2,17,19,0.2004
2,17,20,0.2022
2,17,21,0.2035
2,17,22,0.1902
2,17,23,0.1855
2,18,0,0.1893
2,18,1,0.1863
2,18,2,0.1854
2,18,3,0.1875
2,18,4,0.1904
2,18,5,0.1974
2,18,6,0.204
2,18,7,0.2071
2,18,8,0.2096
2,18,9,0.2021
2,18,10,0.2011
2,18,11,0.2019
2,18,12,0.2001
2,18,13,0.1972
2,18,14,0.1996
2,18,15,0.2031
2,18,16,0.2074
2,18,17,0.2118
2,18,18,0.2114
2,18,19,0.211
2,18,20,0.2114
2,18,21,0.2102
2,18,22,0.201
2,18,23,0.1952
2,19,0,0.1942
2,19,1,0.1897
2,19,2,0.1876
2,19,3,0.1852
2,19,4,0.1864
2,19,5,0.1899
2,19,6,0.1983
2,19,7,0.1972
2,19,8,0.2033
2,19,9,0.1951
2,19,10,0.1959
2,19,11,0.1931
2,19,12,0.1899
2,19,13,0.1909
2,19,14,0.1941
2,19,15,0.1912
2,19,16,0.1925
2,19,17,0.2033
2,19,18,0.2026
2,19,19,0.193
2,19,20,0.1886
2,19,21,0.1807
2,19,22,0.1724
2,19,23,0.1621
2,20,0,0.1464
2,20,1,0.1393
2,20,2,0.1307
