month,day_of_month,hour,price_per_kwh
2,10,2,2.579
2,10,3,2.64
2,10,4,2.972
2,10,5,3.014
2,10,6,2.879
2,10,7,3.468
2,10,8,3.674
2,10,9,3.779
2,10,10,3.772
2,10,11,3.611
2,10,12,3.562
2,10,13,3.369
2,10,14,3.345
2,10,15,3.358
2,10,16,3.624
2,10,17,4.605
2,10,18,4.67
2,10,19,4.105
2,10,20,3.634
2,10,21,3.475
2,10,22,2.881
2,10,23,2.882
2,11,0,3.11
2,11,1,3.078
2,11,2,2.91
2,11,3,2.834
2,11,4,2.944
2,11,5,3.251
2,11,6,3.914
2,11,7,4.37
2,11,8,4.64
2,11,9,4.639
2,11,10,4.84
2,11,11,4.73
2,11,12,4.733
2,11,13,4.504
2,11,14,4.453
2,11,15,4.539
2,11,16,4.577
2,11,17,5.782
2,11,18,6.542
2,11,19,5.863
2,11,20,4.859
2,11,21,4.72
2,11,22,4.215
2,11,23,3.998
2,12,0,4.763
2,12,1,4.253
2,12,2,4.154
2,12,3,4.234
2,12,4,4.279
2,12,5,4.825
2,12,6,5.838
2,12,7,6.742
2,12,8,6.2
2,12,9,6.053
2,12,10,5.955
2,12,11,5.688
2,12,12,5.394
2,12,13,5.176
2,12,14,5.019
2,12,15,5.025
2,12,16,5.399
2,12,17,6.574
2,12,18,7.181
2,12,19,6.565
2,12,20,5.932
2,12,21,5.424
2,12,22,4.955
2,12,23,4.643
2,13,0,5.027
2,13,1,4.79
2,13,2,4.655
2,13,3,4.575
2,13,4,4.623
2,13,5,4.871
2,13,6,5.14
2,13,7,5.202
2,13,8,5.616
2,13,9,6.455
2,13,10,7.425
2,13,11,7.404
2,13,12,7.284
2,13,13,6.601
2,13,14,6.568
2,13,15,6.565
2,13,16,6.65
2,13,17,7.914
2,13,18,8.748
2,13,19,8.33
2,13,20,7.675
2,13,21,6.85
2,13,22,6.613
2,13,23,5.817
2,14,0,6.529
2,14,1,6.157
2,14,2,5.672
2,14,3,5.56
2,14,4,5.717
2,14,5,5.748
2,14,6,5.82
2,14,7,6.5
2,14,8,7.0
2,14,9,7.7
2,14,10,7.925
2,14,11,7.6
2,14,12,6.815
2,14,13,6.755
2,14,14,6.5
2,14,15,6.5
2,14,16,6.81
2,14,17,8.693
2,14,18,9.84
2,14,19,8.5
2,14,20,9.0
2,14,21,8.329
2,14,22,6.907
2,14,23,5.628
2,15,0,4.916
2,15,1,4.779
2,15,2,4.644
2,15,3,4.603
2,15,4,4.761
2,15,5,4.893
2,15,6,5.819
2,15,7,5.885
2,15,8,7.306
2,15,9,7.848
2,15,10,7.463
2,15,11,7.0
2,15,12,7.304
2,15,13,5.086
2,15,14,5.082
2,15,15,4.569
2,15,16,6.567
2,15,17,7.254
2,15,18,7.38
2,15,19,6.0
2,15,20,5.093
2,15,21,4.666
2,15,22,4.06
2,15,23,4.358
2,16,0,3.026
2,16,1,2.679
2,16,2,2.374
2,16,3,2.392
2,16,4,2.437
2,16,5,2.737
2,16,6,3.891
2,16,7,4.284
2,16,8,5.011
2,16,9,5.479
2,16,10,4.4
2,16,11,4.016
2,16,12,3.792
2,16,13,3.302
2,16,14,3.072
2,16,15,3.023
2,16,16,3.48
2,16,17,4.484
2,16,18,4.849
2,16,19,4.174
2,16,20,3.375
2,16,21,2.938
2,16,22,2.526
2,16,23,2.453
2,17,0,2.721
2,17,1,2.544
2,17,2,2.431
2,17,3,2.433
2,17,4,2.481
2,17,5,2.688
2,17,6,3.303
2,17,7,3.629
2,17,8,3.713
2,17,9,3.677
2,17,10,3.603
2,17,11,3.416
2,17,12,3.219
2,17,13,2.881
2,17,14,2.816
2,17,15,2.814
2,17,16,3.414
2,17,17,4.418
2,17,18,4.724
2,17,19,3.941
2,17,20,3.464
2,17,21,2.871
2,17,22,2.691
2,17,23,2.567
2,18,0,2.382
2,18,1,2.295
2,18,2,2.155
2,18,3,2.183
2,18,4,2.273
2,18,5,2.41
2,18,6,3.137
2,18,7,3.327
2,18,8,3.372
2,18,9,3.35
2,18,10,3.513
2,18,11,3.145
2,18,12,3.044
2,18,13,2.921
2,18,14,2.881
2,18,15,2.91
2,18,16,3.059
2,18,17,4.052
2,18,18,4.376
2,18,19,3.816
2,18,20,3.409
2,18,21,3.206
2,18,22,2.565
2,18,23,2.616
2,19,0,2.462
2,19,1,2.21
2,19,2,2.098
2,19,3,2.047
2,19,4,2.086
2,19,5,2.225
2,19,6,2.866
2,19,7,3.077
2,19,8,3.053
2,19,9,3.054
2,19,10,3.039
2,19,11,2.86
2,19,12,2.79
2,19,13,2.566
2,19,14,2.449
2,19,15,2.473
2,19,16,2.854
2,19,17,3.491
2,19,18,3.539
2,19,19,3.007
2,19,20,2.715
2,19,21,2.511
2,19,22,2.293
2,19,23,2.321
2,20,0,2.139
2,20,1,1.917
2,20,2,1.689
2,20,3,1.651
2,20,4,1.608
2,20,5,1.816
2,20,6,1.848
2,20,7,1.69
2,20,8,1.919
2,20,9,2.091
2,20,10,2.254
2,20,11,2.084
2,20,12,1.978
2,20,13,1.807
2,20,14,1.761
2,20,15,1.703
2,20,16,1.878
2,20,17,2.618
2,20,18,2.878
2,20,19,2.327
2,20,20,2.083
2,20,21,1.926
2,20,22,1.842
2,20,23,1.756
2,21,0,1.516
2,21,1,1.43
2,21,2,1.28
2,21,3,1.257
2,21,4,1.241
2,21,5,1.278
2,21,6,1.071
2,21,7,1.219
2,21,8,1.312
2,21,9,1.507
2,21,10,1.512
2,21,11,1.521
2,21,12,1.467
2,21,13,1.409
2,21,14,1.372
2,21,15,1.353
2,21,16,1.5
2,21,17,2.221
2,21,18,2.784
2,21,19,2.101
2,21,20,1.972
2,21,21,1.722
2,21,22,1.58
2,21,23,1.439
2,22,0,1.536
2,22,1,1.461
2,22,2,1.258
2,22,3,1.28
2,22,4,1.422
2,22,5,1.512
2,22,6,2.05
2,22,7,2.216
2,22,8,2.37
2,22,9,2.425
2,22,10,2.457
2,22,11,2.323
2,22,12,2.205
2,22,13,1.981
2,22,14,1.903
2,22,15,1.93
2,22,16,2.198
2,22,17,3.066
2,22,18,3.352
2,22,19,2.869
2,22,20,2.653
2,22,21,2.346
2,22,22,1.955
2,22,23,1.93
2,23,0,1.847
2,23,1,1.664
2,23,2,1.532
2,23,3,1.527
2,23,4,1.57
2,23,5,1.831
2,23,6,2.802
2,23,7,2.632
2,23,8,2.802
2,23,9,2.72
2,23,10,2.818
2,23,11,2.609
2,23,12,2.566
2,23,13,2.265
2,23,14,2.237
2,23,15,2.137
2,23,16,2.401
2,23,17,3.171
2,23,18,3.918
2,23,19,3.113
2,23,20,2.518
2,23,21,2.157
2,23,22,2.016
2,23,23,1.898
2,24,0,1.982
2,24,1,1.724
2,24,2,1.703
2,24,3,1.722
2,24,4,1.701
2,24,5,1.839
2,24,6,2.333
2,24,7,2.231
2,24,8,2.438
2,24,9,2.74
2,24,10,2.68
2,24,11,2.53
2,24,12,2.303
2,24,13,1.997
2,24,14,1.918
2,24,15,1.838
2,24,16,2.096
2,24,17,2.947
2,24,18,3.3
2,24,19,2.511
2,24,20,2.088
2,24,21,1.842
2,24,22,1.551
2,24,23,1.543
2,25,0,1.31
2,25,1,1.238
2,25,2,0.93
2,25,3,0.922
2,25,4,1.064
2,25,5,1.314
2,25,6,1.97
2,25,7,1.871
2,25,8,1.983
2,25,9,2.119
2,25,10,2.273
2,25,11,2.221
2,25,12,2.156
2,25,13,2.023
2,25,14,1.956
2,25,15,1.898
2,25,16,2.125
2,25,17,2.783
2,25,18,3.188
2,25,19,2.666
2,25,20,2.029
2,25,21,1.967
2,25,22,1.78
2,25,23,1.505
2,26,0,1.597
2,26,1,1.514
2,26,2,1.269
2,26,3,1.249
2,26,4,1.469
2,26,5,1.711
2,26,6,2.276
2,26,7,2.438
2,26,8,2.529
2,26,9,2.694
2,26,10,2.756
2,26,11,2.752
2,26,12,2.531
2,26,13,2.362
2,26,14,2.241
2,26,15,2.217
2,26,16,2.482
2,26,17,3.255
2,26,18,3.533
2,26,19,2.905
2,26,20,2.531
2,26,21,2.4
2,26,22,2.175
2,26,23,2.004
